#	number
#	pound
(F)	final
POU	placenta, ovary, uterus
POV	polyp on vesical neck
POVT	puerperal ovarian vein thrombophlebitis
PP	pages
PP	partial pressure
PP	pellagra preventive
PP	posterior pituitary
PP	postpartum
PP	postprandial
PP	private patient
PP	proximal phalanx
PP	pseudomyxoma peritonei
PP	pulse pressure
PPA	palpitation, percussion, auscultation
PPA	postpartum amenorrhea
PPA	pure pulmonary atresia
PPB	positive pressure breathing
PPBS	postprandial blood sugar(laboratory/chemistry)
PPC	progressive patient care
PPD	purified protein derivative(procedure/tuberculin skin test)
PPF	plasma protein fraction
PPH	postpartum hemorrhage
PPH	primary pulmonary hypertension
PPHP	pseudo-pseudohypoparathyroidism
PPI	partial permanent impairment
PPKP	partial penetrating keratoplasty
PPLO	pleuropneumonia-like organism
PPM	permanent pacemaker
PPM	pigmented pupillary membrane
PPMA	postpoliomyelitis progressive muscular atrophy
PPMD	posterior polymorphous dystrophy of cornea
PPMM	postpolycythemia myeloid metaplasia
PPP	palato-pharyngeal-plasty
PPP	postpartum psychosis
PPP	peripheral pulse palpable
PPPPPP	pain, pallor, paresthesia, pulselessness, paralysis, and prostration
PPRF	paramedian pontine reticular formation
PPRF	postpartum renal failure
PPROM	prolonged premature rupture of membranes
PPTL	postpartum tubal ligation
PPV	positive pressure ventilation(respiratory therapy)
PR	partial remission
PR	partial response
PR	pathology report
PR	peer review
PR	pelvic rock
PR	peripheral resistance
PR	per rectum
PR	polymyalgia rheumatica
PR	pulse rate
PR	pulmonary regurgitation
PRA	plasma renin activity(laboratory/endocrinology)
PRBC	packed red blood cells(blood transfunsion)
PRC	plasma renin concentration
PRCA	pure red cell anemia
PRCA	pure red cell aplasia
PRD	postradiation dysplasia
PRE	progressive resistive exercise(physical therapy)
PRE	pigmented retina epithelial(cell)
PRF	prolactin releasing factor
PRFM	prolonged rupture of fetal membranes
PRH	preretinal hemorrhage
PRH	prolactin-releasing hormone
PRL	prolactin
PRM	preretinal membrane
PRM	preventive medicine
PRM	premature rupture of membranes
PRNT	plague reduction neutralization test
PRO	peer review organization
PRO	professional review organization
PROM	premature rupture of membranes
PROM	passive range of motion
PRP	pityriasis rubra pilaris
PRP	platelet-rich plasma(transfusion)
PRP	progressive rubella panencephalitis
PRP	proliferative retinopathy photocoagulation
PRRE	pupils round, regular and equal
PRS	para retropubic space
PRTA	proximal renal tubular acidosis
PRV	polycythemia rubra vera
PRV	pseudorabies virus
PS	paranoid schizophrenia
PS	periodic syndrome
PS	physical status
PS	plastic surgery
PS	population sample
PS	postanesthesia shivering
PS	prescription
PS	pulmonary stenosis
PS	pyloric stenosis
PSA	progressive spinal ataxia
PSA	prostate specific antigen
PSAGN	poststreptococcal acute glomerulonephritis
PSC	posterior subcapsular cataract
PSC	primary sclerosing cholangitis
PSCT	peripheral stem cell transplantation
PSE	portal systemic encephalopathy
PSG	peak systolic gradient
PSG	presystolic gallop
PSGN	poststreptococcal glomerulonephritis
PSIS	postero superior iliac spine
PSL	parasternal line
PSM	presystolic murmur
PSMA	progressive spinal muscular atrophy
PSP	periodic short pulse
PSP	phenolsulfonphthalein(kidney function test)
PSP	positive spike pattern
PSP	progressive supranuclear palsy
PSR	proliferative sickle retinopathy
PSRO	professional standard review organization
PSS	physiological saline solution(intravenous solution)
PSS	progressive systemic sclerosis
PSTT	placental site trophoblastic tumor
PSU	primary site undetermined
PSV	pressure support ventilation
PSVT	paroxysmal supraventricular tachycardia
PT	parathyroid
PT	paroxysmal tachycardia
PT	physical therapy
PT	physical training
PT	pneumothorax
PT	posterior tibial(pulse)
PT	pulmonary thrombosis
PT	prothrombin time(laboratory/coagulation)
PT	pulmonary tuberculosis
PTA	percutaneous transluminal angioplasty
PTA	persistent truncus arteriosus
PTA	plasma thromboplastin antecedent(factorⅠ)(laboratory/coagulation)
PTA	post-traumatic amnesia
PTA	post-traumatic arthritis
PTA	prior to admission(arrival)
PTA	prothrombin activity
PTA	pure tone audiometry
PTB	patellar tendon bearing
PTB	prior to birth
PTBD	percutaneous transhepatic biliary drainage
PTC	percutaneous transhepatic cholangiography
PTC	pheochromocytoma, thyroid carcinoma
PTC	plasmathromboplastin component(Factor IX)(laboratory/coagulation)
PTC	premature tricuspid closure
PTCA	percutaneous transluminal coronary angioplasty
PTCCa	papillary transitional cell carcinoma
PTCD	percutaneous transhepatic cholangiographic drainage
PTCS	Percutaneous Transhepatic Cholangioscopy
PTE	parathyroid extract
PTE	proximal tibial epiphysis
PTE	pulmonary thromboembolism
PTED	pulmonary thromboembolic disease
PTH	parathyroid hormone
PTH	post transfusion hepatitis
PTHBD	percutaneous transhepatic biliary drainage
PTI	persistent tolerant infection
PTL	perinatal telencephalic leuko-encephalopathy
PTL	posterior tricuspid valve leaflet
PTM	post-transfusion mononucleosis
PTM	post-traumatic meningitis
PTMDF	pupils, tension, media, disc, fundus
PTP	posterior tibial pulse
PTP	post-tetanic potentiation
PTP	post-transfusion purpura
PTRA	percutaneous transluminal renal angioplasty
PTSD	post traumatic stress disorder
PTT	partial thromboplastin time(laobratory/coagulation)
PTT	patellar tendon transfer
PTT	platelet transfusion therapy
PTX	parathyroidectomy
PU	pass urine
PU	peptic ulcer
PU	pregnancy urine
PUBS	percutaneous umbilical cord blood sampling
PUC	pediatric urine collector
PUD	pulmonary disease
PUD	peptic ulcer disease
PUE	pyrexia(fever) of unknown etiology
PUFA	polyunsaturated fatty acid
PUO	pyrexia(fever) of unkonow origin
PUPPP	pruritic urticarial papules and plagues of pregnancy
PUVA	psoralen and ultraviolet A-range (treatment for psoriasis)
PV	peripheral vascular
PV	peripheral vein
PV	per vaginal(through the vagina)
PV	plasma volume
PV	polycythemia vera
PV	portal vein
PV	postvoiding
PVA	partial villous atrophy
PVA	polyvinyl alcohol
PVC	postvoiding cystogram
PVC	premature ventricular contraction
PVC	pulmonary venous congestion
PVD	peripheral vascular disease
PVD	posterior vitreous detachment(eye)
PVD	postvagotomy diarrhea
PVD	pulmonary valve disease
PVE	perivenous encephalomyelitis
PVE	prosthetic valve endocarditis
PVF	portal venous flow
PVF	portal ventricular fibrillation
PVH	periventricular hemorrhage
PVH	pulmonary vascular hypertention
PVI	peripheral vascular insufficiency
PVM	pneumonia virus of mice
PVO	pyogenic vertebral osteomyelitis
PVO2	partial pressure of venous oxygen(laboratory/blood gas)
PVP	Photoselective vaporization of the prostate
PVP	Portal vein pressure
PVR	peripheral vascular resistance
PVR	proliferative vitreoretinopathy
PVR	pulmonary vascular resistance
PVS	paravesicle space
PVS	premature ventricular systole
PVT	paroxysmal ventricular tachycardia
PVT	portal vein thrombosis
PW	Paragonimus westermani
PW	plantar wart
PW	posterior wall
PWA	person with ADIS
PWB	partial weight bearing
PWC	physical work capacity
PWI	posterior wall infarct
PWP	pulmonary wedge pressure
PX	physical examination
PZI	protamine zinc insulin(medication order)
PZP	pregnancy zone-protein
PaCO2	arterial carbon dioxide tension(laboratory/blood gas)
PaO2	arterial oxygen pressure tension(laboratory / blood gas)
Pap	Papanicolaou smear(procedure / gynecology)
Para I	having born one child
Para II	two children...
Path	pituitary adrenotropic hormone
PcB	psoas compartment block
PcB	near point of convergence to the base line(eye examination)
Pcom	posterior communicating artery
Pe	expiratory pressure(respiratory therapy)
Ped	pediatrics
Pen	penicillin(medication order)
Pg	pregnant
Pg	picogram
PgH	pituitary growth hormone
Ph	phalangeal amputation
Ph	phalanx
Ph	pharmacopeia
Ph1	philadelphia chromosome(laboratory/hematology)
Pi	inspiratory pressure(respiratory therapy)
Pn	pneumonia
Po	opening pressure
Pr	presbyopia(eye examination)
Pr	pair
Pr	per rectum
Priv	private
Priv	privilege
Ps	pseudomonas per second
Psi	pound per square inch(pressure measurement)
Psurg	plastic surgery
Psych	psychiatry
Psych	psychology
Px	prognosis
Px	prescription
Px	take
Q	each
Q	quantity
Q	quarter
Q	rate of blood flow
Q	volume of blood flow
QA	quality assurance
QC	quality control
QCA	quantitative coronary angiography
QMT	quantitative muscle testing
QPEEG	quantitative pharmacoeletro-encephalography
Qo2	oxygen consumption(pulmonary function test)
R	radical
R	radius, complete(congenital absence of limb)
R	ramus
R	rate
R	ratio
R	rectal
R	relapse
R	release
R	remission
R	resistance
R	respirations
R	rhythm
R	rickettsia
R	root(Latin:radix)
R	rough(colony)
R	rub
R +	Rinne's test positive(hearing teat)
R -	Rinne's test negative(hearing test)
R / O	rule out
R&R	rate and rhythm(heart)
RA	refractory anemia
RA	renal artery
RA	repeat action
RA	rheumatoid agglutinins(laboratory/serology)
RA	rheumatoid arthritis
RA	right anterior
RA	right arm
RA	right atrial(atrium)
RA	right auricle
RA	airway resistance
RA	radium(nuclear medicine)
RA facto	rheumatoid arthritis factor(laboratory/serology)
RAAGG	rheumatoid arthritis agglutination
RAD	reactive airway disease
RAD	right axis deviation(ECG)
RAE	right atrial enlargement
RAEB	refractory anemia with excess blasts
RAH	regressing atypical histiocytosis
RAH	right atrial hypertrophy
RAI	radioactive iodine(nuclear medicine)
RAIU	radioactive iodine uptake(nuclear medicine)
RALT	routine admission laboratory tests
RAO	right anterior oblique
RAP	right atrial pressure
RAPD	relative afferent pupillary defect
RAPM	refractory anemia with partial myeloblastosis
RAPS	recurrent abdominal pain syndrome
RAS	renal artery stenosis
RAST	radioallergosorbent test(allergy)
RAT	right anterior thigh(injection site)
RATx	radiation therapy
RB	respiration bronchiole
RB	retinoblastoma
RB	right buttock(injection site)
RBBB	right bundle branch block(ECG)
RBC	red blood count(laboratory/hematology)
RBCV	red blood cell volume(laboratory/hematology)
RBD	right border of dullness
RBF	renal blood flow
RBN	retrobulbar neuritis
RBS	random blood sugar
RC	red cell
RC	retrograde cystogram
RCA	radionuclide cerebral angiogram
RCA	renal cell carcinoma
RCA	right carotid artery
RCA	right coronary artery
RCBV	regional cerebral blood volume
RCC	red cell count
RCC	renal cell carcinoma
RCD	relative area of cardiac dullness
RCM	red cell mass
RCM	right costal margin
RCR	respiratory control ratio
RCS	repeat cesarean section
RCS	reticulum cell sarcoma
RCU	red cell utilization
RCU	respriatory care unit
RCV	red cell volume(laboratory/hematology)
RD	Raynaud's disease
RD	reaction of degeneration
RD	renal disease
RD	respiratory disease
RD	retinal detachment
RD	right deltoid(injection site)
RD	right dorsoanterior
RDDA	recommended daily dietary allowance
RDE	receptor destroying enzyme
RDEB	recessive dystrophic epidermolysis bullosa
RDI	rupture delivery interval(obstetrics)
RDIH	right direct inguinal hernia
RDOD	retinal detachment, right eye
RDOS	retinal detachment, left eye
RDP	right dorsoanterior position of the fetus
RDS	respiratory distress syndrome
RDT	regular dialysis treamtment
RE	rectal examination
RE	reflux esophagitis
RE	regional enteritis
RE	reticulo-endothelium
RE	right eye
RECA	right external carotid artery
RECG	radioelectrocardiology(telemetry)(procedure/cardiology)
REG	radioencephalogram
REM	rapid eye movement
RES	reticuloendothelial system
RF	relative fluorescence
RF	renal failure
RF	respiratory failure
RF	retardation factor
RF	retroperitoneal fibromatosis
RF	rheumatic fever
RF	rheumatoid factor
RFA	right femoral artery
RFA	right forearm
RFA	right frontoanterior(fetal position)
RFB	retained foreign body
RFC	right frontal craniotomy
RFG	radiofrequency generator(lesion making)
RFL	right frontolateral
RFP	right frontoposterior(fetal position)
RFR	radio frequency rhizotomy
RFS	relapse-free survival
RFS	renal function study
RFT	right frontotransverse(fetal position)
RFW	in cardiology, rapid filling wave
RG	right gluteus(injection site)
RGP	retrograde pyelogram
RH	radial hemolysis
RH	reactive hyperemia
RH	relative humidity
RH	right hand
RH	right hyperphoria
RHB	regular heart beat
RHC	respirations have ceased
RHD	relative hepatic dullness
RHD	renal hypertensive disease
RHD	rheumatic heart disease
RHF	right heart failure
RHL	right hepatic lobe
RHLN	right hilar lymph node
RHS	right hand side
RI	refractive index(eye examination)
RI	regional ileitis
RI	renal insufficiency
RI	respiratory illness
RIA	radioimmunoassay(laboratory method)
RICM	right intercostal margin
RICU	respiratory intensive care unit
RIF	right iliac fossa(injection site)
RIF	rigid internal fixation
RIH	right inguinal hernia
RIND	reversible ischemic neurologic deficit
RIR	right iliac region
RIR	right inferior rectus
RISA	radioactive iodine serum albumin(nuclear medicine)
RIST	radioimmunosorbent test
RIU	radioactive iodine uptake(nuclear medicine)
RK	rabbit kidney
RK	radical keratotomy
RK	right kidney
RKG	radioelectrocardiogram
RL	right leg
RL	right lung
RLB	Rickettsia-like bodies
RLC	residual lung capacity(pulmonary function test)
RLD	right lateral decubitus
RLD	ruptured lumbar disk
RLE	right lower extremity
RLF	retrolental fibroplasia
RLL	right lower limb
RLL	right lower lobe(lung)
RLN	recurrent laryngeal nerve
RLN	regional lymph nodes
RLQ	right lower quadrant
RLR	right lateral rectus
RLS	Ringer's lactate solution(intravenous solution)
RLT	right lateral thigh(injection site)
RM	radical mastectomy(operation/breast)
RM	respiratory movement
RM	ruptured membranes(obstetrics)
RMA	right mentoanterior(fetal position)
RMCA	right middle cerebral artery
RMK	rhesus monkey kidney
RML	right mediolateral(episiotomy)(operation/obstetrics)
RML	right middle lobe(lung)
RMP	right mentoposterior(fetal position)
RMR	right medial rectus(eye examination)
RMS	rhabdomyosarcoma
RMS	rheumatic mitral stenosis
RMSF	Rocky Mountain spotted fever
RMT	retromolar trigone
RMT	right mentotransverse(fetal position)
RMV	respiratory minute volume(pulmonary function test)
RN	Registered Nurse
RN	reticular nucleus
RNA	radionuclide angiography
RNA	ribonucleic acid
RND	radical neck dissection(operation/neck)
RNase	ribonuclease
RO	routine order
ROA	right occiput anterior(fetal position)
ROD	renal osteodystrophy
ROH	rat ovarian hyperemia(test)
ROM	range-of-motion
ROM	right otitis media
ROM	rupture of membranes(obstetrics)
ROP	right occiput posterior(fetal position)
ROS	review of system
ROT	remedial occupational therapy
ROT	right occiput transverse(fetal position)
RP	relapsing polychondritis
RP	residual poliomyelitis
RP	resting pressure
RP	retractory period
RP	retrograde pyelogram
RP	radial pulse
RP	reactive protein
RPA	right pulmonary artery
RPCF	Reiter protein complement fixation test(laboratory/serology)
RPE	retinal pigment epithelium
RPF	relaxed pelvic floor
RPF	renal plasma flow
RPG	rapidly progressive glomerulonephritis
RPG	retrograde pyelogram
RPGN	rapidly progressive glomerulonephritis
RPO	right posterior oblique
RPP	retropubic-prostatectomy
RPR	rapid plasma reagin(test)(laboratory/serology)
RPRCF	rapid plasma reagin card test
RPRF	rapidly progressive renal failure
RPV	right pulmonary vein
RQ	respiratory quotient
RR	radiation response
RR	recovery room
RR	relative risk
RR	renin release
RR	respiratory rate
RRD	rhematogenous retinal detachement
RRE	round, regular, equal(eye examination)
RRP	relative refractory period(heart)
RS	rectal suppository(prescriptions)
RS	review of symptoms
RS	rhythm strip(electrocardiogram)
RS	right side
RS	Ringer's solution(intravenous solution)
RSA	respiratory sinus arrhythmia
RSA	right subclavian artery
RSB	right sternal border
RSC	rested-state contraction
RSD	reflex sympathetic dystrophy
RSD	relative standard deviation
RSIVP	rapid sequence intravenous pyelogram(x-ray / kidneys)
RSO	right salpingo-oophorectomy(operation / gynecology)
RSP	right sacroposterior
RSR	regular sinus rhythm(heart)
RSR	right superior rectus
RSV	right subclavian vein
RT	radiation therapy
RT	renal transplant
RT	respiratory therapist
RT	respiratory therapy
RT	right thigh
RTA	renal tubular acidosis
RTC	return to clinic
RTD	routine test dilution
RTLC	reaction thin-layer chromatography
RTM	routine medical care
RTN	renal tubular necrosis
RTx	radiation therapy
RU	radioactive uptake
RU	rectourethral
RU	retrograde ureterogram
RU	right upper
RU	roentgen unit(radiation therapy)
RUE	right upper extremity
RUL	right upper limb
RUL	right upper lobe(lung)
RUQ	right upper quadrant
RUR	resin uptake ratio(nuclear medicaine)
RURTI	recurrent upper respiratory tract infection
RV	residual volume(pulmonary function test)
RV	retinal vasculitis
RV	right ventricle
RV/TLC	residual volume to total lung capacity ratio
RVD	relative vertebral density
RVE	right ventricular enlargement
RVEDP	right ventricular end diastolic pressure
RVF	retroversion of uterus flection
RVG	radionuclide ventriculogram
RVH	right ventricular hypertrophy
RVO	relaxed vaginal outlet
RVOT	right ventricular outflow tract
RVR	rapid ventricular response
RVR	renal vascular resistance
RVR	Resistance to venous return
RVRC	renal vein renin concentration
RVT	renal vein thrombosis
Radiol	radiology
Rh agglu	rheumatoid agglutinins
Rh facto	Rhesus factor(laboratory/blood bank)
Rh+	Rhesus positive(blood)(laboratory/blood bank)
Rh-	Rhesus negative(blood)(laboratory/blood bank)
Rhin	rhinology
Rn	radon(radiation measurement)
Roent	roentgenology(x-ray)
Rp	pulmonary resistance(pulmonary function test)
Rx	drugs
Rx	medication
Rx	prescription
Rx	take(Latin:recipe)
Rx	therapy
Rx	treatment
R→L	right to left
S	sacral(vertebrae)
S	saline
S	schizophrenia
S	section
S	serum
S	siderocyte
S	single(marital status)
S	smooth(colony)
S	sone
S	spasm
S	sulcus
S	suction(on anesthesia records)
S / P	semi-private(room)
S / P	status post(no change-as before)
S / P	systolic pressure
S gl	without correction(without glasses)
S&D	stomach and duodenum(x-ray)
S&H	speech and hearing
S&S	signs and symptoms
S&W Enem	soap and water enema(procedure/enema)
S-BD	seizure-brain damage
S-C dise	sickle cell-hemoglobin C disease
S/A	sugar and acetone(laboratory/urinalysis)
S1	first heart sound
S1 S2	first sacral vertebra,...
S2	second heart sound
S3	third heart sound
S4	fourth heart sound
SA	salicylic acid
SA	sarcoma
SA	secondary amenorrhea
SA	serum albumin
SA	sinoatrial(node)
SA	sinus arrest
SA	sleep apnea
SA	Stokes-Adams(attaks)
SA	surface area
SA	sustained action
SAC	short-arm cast
SACD	subacute combined degeneration
SAH	subarachnoid hemorrhage
SAH	systemic arterial hypertension
SAM	subaortic membrane
SAN	sinoatrial node
SAP	serum alkaline phosphatase(laboratory/chemistry)
SAP	systemic arterial pressure
SAR	seasonal allergic rhinitis
SAS	sleep apnea syndrome
SAS	subaortic stenosis
SAS	subarchnoid space
SAS	supravalvular aortic stenosis
SAS	short-arm splint
SB	scleral buckling(eye)
SB	serum bilirubin
SB	single breath
SB	sinus bradycardia
SB	small bowel
SB	spina bifida
SB	Stanford-Binet(intelligence test)
SB	sternal border
SB	stillborn
SBC	simple bone cyst
SBC	special back care
SBC	strict bed confinement
SBE	shortness of breath on exertion
SBE	subacute bacterial endocarditis
SBI	serious bacterial infection
SBI	systemic bacterial infection
SBO	small bowel obstruction
SBP	scleral buckling procedure
SBP	spontaneous(subacute) bacterial peritonitis
SBP	systolic blood pressure
SBR	stillbirth rate
SBR	strict bed rest
SBS	small bowel series(x-ray)
SC	closure of the semilunar valves
SC	sacrococcygeal
SC	schizophrenia
SC	scleral cautery(eye)
SC	self care
SC	sickle cell(anemia)
SC	special care
SC	spinal cord
SC	sternoclavicular(joint)
SC	streptococcus
SC	subcostal
SC	systemic candidiasis
SCA	sickle cell anemia
SCA	subclavian artery
SCA	superior cerebellar artery
SCABG	single coronary artery bypass graft(operation/heart)
SCC	small cell carcinoma
SCC	squamous cell carcinoma
SCD	sickle cell disease
SCD	spinal cord disease
SCD	subacute combined degeneration of spinal cord
SCD	sudden cardiac death
SCD	sudden coronary death
SCFE	slipped capital femoral epiphysis
SCI	spinal cord injury
SCID	severe combined immunodeficiency disease
SCIPP	sacrococcygeal to inferior pubic point
SCJ	squamocolumnar junction
SCJ	sternoclavicular joint
SCLC	Small cell lung cancer
SCM	sternocleidomastoid muscle
SCO	supracondylar osteotomy
SCS	shaken child syndrome
SCT	sickle cell trait
SCU	special care unit
SD	septal defect(heart)
SD	shoulder disarticulation
SD	standard deviation
SD	sudden death
SD	spontaneous delivery
SDA	sialodacryoadenitis
SDAT	senile dementia, Alzheimer type
SDFC	subdural fluid collection
SDH	subdural hematoma
SDHD	sudden death heart disease
SDP	sacrodextra posterior(Latin)(right sacroposterior)
SDR	surgical dressing room
SDS	sensory deprivation syndrome
SDS	sudden death syndrome
SDT	L. sacrodextra transversa(right sacrotransverse)
SE	saline enema(procedure/enema)
SE	side effect
SE	sphenoethmoidal suture
SE	squamous epithelium
SE	status epilepticus
SE	subendocardial
SE	subendothelial
SEB	sclera encircling bending
SED	side effect of drugs
SED	skin erythema dose
SED	spondyloepiphyseal dysplasia
SEG	sonoencephalogram
SEM	scanning electron microscope
SEM	systolic ejection murmur
SEMI	subendocardial myocardial infarction
SEP	sensory evoked potential
SEP	somatosensory evoked potential
SEP	systolic ejection period
SEQ	L. sequela(that which follows)
SER	smooth endoplasmic reticulum
SER	somatosensory evoked response
SER	systolic ejection rate
SET	systolic ejetion time
SF	scarlet fever
SF	sickle cell hemoglobin F
SF	spinal fluid
SF	spontaneous fibrillation
SF	spontaneous fracture
SF	streptococcus faecalis(on bacteriology reports)
SF	synovial fluid
SFA	saturated fatty acid
SFA	superficial femoral angioplasty
SFA	superficial femoral artery
SFEMG	single fiber electromyography
SFP	screen filtration pressure
SFP	spinal fluid pressure
SFS	serial focal seizures
SFS	split function study
SFT	skin fold thickness
SFTR	sagittal, frontal, transverse, rotation
SG	serum globulin
SG	skin graft(plastic surgery)
SG	specific gravity(urine)
SGA	small for gestational age
SGB	sympathetic ganglionic block
SGL	salivary gland lymphocyte
SGOT	serum glutamic oxaloacetic transaminase(laboratory/chemistry)
SGP	serine glycerophosphatide
SGPT	serum glutamic pyruvic transaminase(laboratory/chemistry)
SGV&P	selective gastric vagotomy and pyloroplasty
SH	serum hepatitis
SH	sex hormone
SH	shoulder
SH	sinus histiocytosis
SH	social history
SH	somatotrophic(growth) hormone
SH	surgical history
SHBG	sex hormone-binding globulin
SHG	synthetic human gastrin
SHML	sinus histiocytosis with massive lymphadenopathy
SHO	secondary hypertrophic osteoarthropathy
SI	sacroiliac
SI	serum iron
SI	seriously ill
SI	small intestine
SI	systolic index
SIADH	serum inappropriate antidiuretic hormone
SIADH	syndrome of inappropriate secretion of antidiuretic hormome
SICT	selective intracoronary thrombolysis
SICU	surgical intensive care unit
SID	sundden infant death
SID	systemic inflammatory disease
SIDS	sudden infant death syndrome
SIJ	sacroiliac joint
SIM	selected ion monitoring
SIMV	synchronized intermittent mandatory ventilation
SIR	single isomorphous replacement
SIW	self-inflicted wound
SK	seborrheic keratosis
SK	senile keratosis
SK	streptokinase(on culture and sensitivity reports)
SL	sclerosing leukoencephalopathy
SL	sensation level
SL	slit lamp(eye examination)
SL	streptolysin
SL	sublingual(medication order/prescriptions)
SLA	L. sacrolaeva anterior(left sacroanterior)
SLB	short leg brace
SLC	short-leg cast
SLD	serum lactic dehydrogenase
SLDH	serum lactic dehydrogenase(laboradtory/chemistry)
SLE	systemic lupus erythematousus
SLE	St. Louis encephalitis
SLEV	St. louis encephalitis virus
SLKC	superior limbic keratoconjunctivitis
SLN	superior laryngeal nerve
SLP	L. sacrolaeva posterior(left scaroposterior)
SLR	straight leg raising
SLR	Streptococcus lactis R
SLRT	straight leg raising test
SLS	segment long-spacing(collagen)
SLS	short-leg splint
SLT	L. sacrolaeva transversa(left sacrotransverse)
SM	simple mastectomy
SM	streptomycin(on culture and sensitivity reports)
SM	submandibular
SM	submucous
SM	systolic mean(pressure)
SM	systolic murmur
SMA	sequential multiple Analyzer
SMA	spinal muscular atrophy
SMA	superior mesenteric artery
SMA	supplementary motor area
SMA sys	superior mesenteric artery syndrome
SMA-12	sequential multiple analysis-12 tests(laboratory/chemistry)
SMA-6	sequential multiple analysis-6 tests(laboratory/chemistry)
SMBFT	small bowel follow-through(x-ray/intestinal)
SMC	smooth muscle cell
SMC	special mouth care
SMCP	submucosal cleft palate
SMD	senile macular degeneration
SMD	submucosal diathermy
SMON	subacute myelo-optical neuropathy
SMR	skeletal muscle relaxant(drug)
SMR	submucous resection(operation/nose)
SMRR	submucous resection and rhinoplasty
SMS	serial motor seizures
SN	sensory neuron
SN	sinus node
SN	standard nomenclature(records)
SN	suprasternal notch
SNA	superior nasal artery
SNA	subacute necrotizing adenitis(lymphadenitis)
SNB	scalene node biopsy(operation/chest)
SND	sinus node disease
SNE	sinus node electrogram
SNE	subacute necrotizing encephalo-myelopathy
SNHL	sensorineural hearing loss
SNL	subacute necrotizing lymph
SNOP	systematized nomenclature of pathology
SNRT	sinus node recovery time
SNS	sympathetic nervous system
SNV	systemic necrotizing vasculitis
SO	salpingo-oophorectomv(operation/gynecology)
SO	spheno-occipital synchondrosis
SO	stitches out
SO	superior oblique
SO	sutures out
SOA test	supraorbital artery test
SOAA	signed out against advice
SOAP	subjective, objective, assessment, plan(in problem-oriented medical records)
SOB	short of breath
SOB	stool occult blood
SOBE	shortness of breath on exertion
SOC	sequential-type oral contraceptive
SOD	sinovenous occlusive disease
SOH	sympathetic orthostatic hypotention
SOL	space occupying lesion
SOM	serous otitis media
SOM	superior oblique muscle(eye)
SOMI	sternal-occipital-mandibular immobilizer
SON	supraoptic nucleus
SOND	supraomohyoid neck dissection
SONK	spontaneous osteonecrosis of knee
SONP	solid organs not palpable
SOP	standard operating procedure
SP	sacrum to pubis
SP	serum protein
SP	shunt procedure
SP	sinus pause
SP	skin potential
SP	soft palate
SP	spine
SP	status post
SP	steady potential
SP	suicide precautions
SP	summating potential
SP	suprapubic
SP	symphysis pubis
SP	systolic pressure
SPA	spinal progressive amyotrophy
SPA	suprapatellar amputation
SPA	suprapubic aspiration
SPAD	stenosing peripheral arterial disease
SPCA	serum prothrombin conversion accelerator(Factor)
SPE	septic pulmonary edema
SPE	serum protein electrophoresis
SPECT	single photon emission computed tomography
SPECT	site phacoemulsification
SPEP	serum protein electrophoresis(laboratory/chemistry)
SPF	skin protection factor
SPF	streptococcal proliferative factor
SPH	secondary pulmonary hemosiderosis
SPN	solitary pulmonary nodule
SPP	suprapubic prostatectomy(operation/urology)
SPRM	spontaneous premature rupture of membrane
SQ	subcutaneous(injection site)
SR	sarcoplasmic reticulum
SR	sedimentation rate
SR	sensitivity response
SR	sinus rhythm(heart)
SR	skin resistance
SR	stimulus response
SR	superior rectus
SR	systems review(patient's history)
SRA	segmented renal artery
SRC	segmented red cells
SRF	split renal function
SRF	subretinal fluid
SRFD	subretinal fluid drainage
SRH	single radial hemolysis
SRH	somatotropin releasing hormone
SRM	superior rectus muscle(eye)
SRNVM	senile retinal neovascular membrane
SRNVM	subretinal neovascular membrance
SRV	superior radicular vein
SS	saline soak
SS	Salmonella-Shigella
SS	saturated solution(prescriptions)
SS	side to side
SS	signs and symptoms
SS	social security
SS	social service
SS	sterile solution
SS	subaortic stenosis
SS	substernal
SS	systemic sclerosis
SS enema	saline solution enema(procedure/enema)
SSA	side-to side anastomosis
SSA	subsegmental atelectasis
SSE	soapsuds enema(procedure/enema)
SSEP	somatosensory evoked potential
SSER	somatosensory evoked response
SSG	sublingual salivary gland
SSI	segmental spinal instrumentation
SSKI	saturated solution of potassium iodide(medication orders/prescriptions)
SSLI	serum sickness-like illness
SSM	superficial spreading melanoma
SSN	severely subnormal
SSNHL	sudden sensorineural hearing loss
SSPE	subacute sclerosing panencephalitis
SSRO	sagittal split ramus osteotomy
SSS	scalded skin syndrome
SSS	sick sinus syndrome
SSS	specific souble substance
SSS	sterile saline soak
SST	sagittal sinus thrombosis
SST	somatosensory thalamus
ST	sclerotherapy
ST	sinus tachycardia
ST	skin temperature
ST	skin test
ST	slight trace
ST	sore throat
ST	speech therapist
ST	split thickness
ST	sternothyroid
ST	stomach
ST	subtalar
ST	subtotal
ST	surface tension
ST	survival time
STA	superficial temporal artery
STA-MCA	superficial temporal artery to middle cerebral artery
STC	soft tissue calcification
STC	subtotal colectomy
STD	sexually transmitted diseases
STD	skin test dose
STD	skin to tumor distance
STD	standard test dose
STF	special tube feeding
STG	split thickness graft(operation/plastic surgery)
STH	somatotrophic(growth) hormone
STH	subtotal hysterectomy(operation/gynecology)
STI	systolic time interval
STK	streptokinase
STLI	subtotal lymphoid irradiation
STM	short-term memory
STN	subthalamic nucleus
